你好！	Nǐ hǎo!	Hello!	[sound:tmp1cctcn.mp3]
你喜欢音乐吗？	nǐ xǐhuān yīnyuè ma ?	Do you like music? <br /> Do you love music?	[sound:333747.mp3]
“她喜欢音乐。”“我也是。”	&quot; tā xǐhuān yīnyuè .&quot;&quot; wǒ yě shì .&quot;	&quot;She likes music.&quot; &quot;So do I.&quot;	[sound:334470.mp3]
A说也难吗?<br/>B说不太难。	Shuō yě nán ma?<br />Shuō bú tài nán.	Is speaking also difficult?<br />Speaking is not too difficult.	[sound:R013-DLG.mp3]
“相信我。”他说。	xiāngxìn wǒ . tā shuō .	Believe me he said.	[sound:334478.mp3]
他的英语说得很好。	Tāde Yīngyǔ shuōde hěn hǎo.	He speaks English really well.	[sound:G008-02.mp3]
A我英语说得不太好。<br/>B我也说得不太好。	Wǒ Yīngyǔ shuō de bú tài hǎo.<br />Wǒ yě shuō de bú tài hǎo.	I don't speak English very well.<br />I also don't speak it very well.	[sound:R008-DLG.mp3]
你英语说得很好。	Nǐ Yīngyǔ shuōde hěn hǎo.	You speak English really well.	[sound:R008-04.mp3]
大家都知道她的英语说得很好。	dàjiā dōu zhīdào tā de yīngyǔ shuō de hěn hǎo. (also no 1st de)	Everyone knows she can speak English well.	[sound:333282.mp3]
大家看我的决定对吗？	Dàjiā kàn wǒ de juédìng duì ma?	Does everyone view my decision as correct?	[sound:R104-06.mp3]
你明白了吗？	Nǐ míngbai le ma?	Did you understand?	[sound:tmpdheiqp.mp3]
我不太明白他说什么。	wǒ bù tài míngbai tā shuō shénme. (also liaojie)	I don't understand too well what he's saying.	[sound:332655.mp3]
我终于明白了。	Wǒ zhōngyú míngbai le.	At last, I understand.	[sound:tmpfmnzlw.mp3]
她是我的女儿。	Tā shì wǒ de nǚ'ér.	She's my daughter.	[sound:tmpql0mgd.mp3]
我们有两个女儿。	wǒmen yǒu liǎng ge nǚér .	We have two daughters.	[sound:334779.mp3]
他们的女儿很可爱。	Tāmen de nǚ'ér hěn kě'ài.	Their daughter is cute.	[sound:tmptyiavj.mp3]
她想当老师。	Tā xiǎng dāng lǎoshī.	She wants to be a teacher.	[sound:tmpeiv4ps.mp3]
音乐很好听。	Yīnyuè hěn hǎo tīng.<div>(Also ting hao ting) (Ting hao le means you listened well)</div>	The music is very good.	[sound:tmpdifqsz.mp3]
他们一个在做，另一个在看。	Tāmen yī gè zài zuò, lìng yī gè zài kàn.	One of them is doing and the other is watching.	[sound:tmp2fplq1.mp3]
你有钱吗？	Nǐ yǒu qián ma?	Do you have any money?	[sound:G011-03.mp3]
我们会经过你家。	Wǒmen huì jīngguò nǐ jiā.	We will pass by your house.	[sound:tmpfwra8t.mp3]
她是他的一切。	tā shì tā de yīqiè .	She is everything to him.	[sound:332435.mp3]
你是我的一切。	nǐ shì wǒ de yīqiè .	You are everything to me.	[sound:333179.mp3]
一切都没有问题。	Yīqiè dōu méiyǒu wèntí.	Everything is ok/no problem.	[sound:tmpkme6j2.mp3]
我希望最后一切都好。	wǒ xīwàng zuìhòu yīqiè dōuhǎo .	I hope everything will turn out well in the end.	[sound:333980.mp3]
其他的一切都好。	qítā de yīqiè dōuhǎo .	All else is fine.	[sound:332555.mp3]
我希望如此。	wǒ xīwàng rúcǐ .	I hope so.	[sound:333103.mp3]
这些衣服是女儿的。	Zhèxiē yīfu shì nǚ'ér de.	These clothes belong to my daughter.	[sound:tmpraulz9.mp3]
Maria花很多钱买衣服。	Maria huā hěn duō qián mǎi yīfu .	Maria spends a lot of money on clothes.	[sound:333648.mp3]
我喜欢买衣服。	Wǒ xǐhuan mǎi yīfu.	I like buying clothes.	[sound:tmpfyskrc.mp3]
她买了一件衣服。	Tā mǎile yī jiàn yīfu.	She bought a piece of clothing.	[sound:tmpccmde2.mp3]
这件衣服多少钱？	Zhè jiàn yīfu duōshǎo qián?	How much does this piece of clothing cost?	[sound:tmpak46ds.mp3]
她有很多爱好。	Tā yǒu hěn duō àihào.	She has a lot of hobbies.	[sound:R047-02.mp3]
你有很多爱好吗？	Nǐ yǒu hěn duō àihào ma?	Do you have a lot of hobbies?	[sound:G047-03.mp3]
我会去接他的。	wǒ huì qù jiē tā de.	I'll go pick him up. (for sure)	[sound:334424.mp3]
接电话。	jiē diànhuà .	Answer the phone.	[sound:332436.mp3]
请接一下电话。	Qǐng jiē yīxià diànhuà. (also no yixia)	Please answer the phone. (polite)	[sound:tmpv04uyk.mp3]
让我介绍一下我的同学。	Ràng wǒ jièshào yī xià wǒde tóngxué.	Let me introduce my classmate.	[sound:R044-05.mp3]
我也来介绍一下!	Wǒ yě lái jièshào yīxià!	I'll also introduce myself!	[sound:G044-04.mp3]
请介绍你自己。	Qǐng jièshào nǐ zìjǐ. (also qing ziwo jieshao yixia)	Please introduce yourself.	[sound:R044-07.mp3]
我不能让自己做这样的事。	wǒ bù néng ràng zìjǐ zuò zhèyàng de shì. (also wo ziji)	I can't let myself do this kind of thing.	[sound:332681.mp3]
问题是那天我们的车不能用。	wèntí shì nà tiān wǒmen de chē bù néng yòng. (also bu neng yong women de che)	The problem is we can't use our car that day.	[sound:334381.mp3]
他们有他们自己的文化。	tāmen yǒu tāmén zìjǐ de wénhuà .	They have their own culture.	[sound:333199.mp3]
我不记得了。	Wǒ bú jìde le.	I can't remember.	[sound:R091-01.mp3]
我记得他以前在我们公司工作。	Wǒ jìde tā yǐqián zài wǒmen gōngsī gōngzuò.	I remember that he used to work at our company.	[sound:R091-07.mp3]
我在看英文书。	Wǒ zài kàn Yīngwén shū. (also du)	I'm reading an English book.	[sound:tmpz7iyla.mp3]
找工作很容易。	Zhǎo gōngzuò hěn róngyì.	Finding a job is easy.	[sound:R072-05.mp3]
我不会写中文。	Wǒ bù huì xiě Zhōngwén.	I do not know how to write Chinese.	[sound:G009-06.mp3]
问题解决了。	Wèntí jiějué le.	The problem has been solved.	[sound:tmp08zfsk.mp3]
她很有才能。	Tā hěn yǒu cáinéng.	She's very talented.	[sound:tmpvnwpo8.mp3]
发生了什么事？	Fāshēngle shénme shì? (also le at the end)	What happened?	[sound:tmpwaetgw.mp3]
我想知道她发生什么事了。	wǒ xiǎng zhīdào tā fāshēng shénme shì le. (also chu1)	I wonder what has happened to her.	[sound:334329.mp3]
学生学东西很快。	Xuéshēng xué dōngxi hěn kuài.	The students learn things quickly.	[sound:R033-07.mp3]
他很快就会回来的。	tā hěn kuài jiù huì huílai de .	He will be back soon.	[sound:332892.mp3]
他很快就会回来。	tā hěn kuài jiù huì huílai. (also de)&nbsp;(also no jiu)	He will be back very soon.	[sound:333791.mp3]
我五点到你家来接你。	wǒ wǔ diǎn dào nǐ jiā lái jiē nǐ . (also no lai)	I'll pick you up at your home at five.	[sound:333216.mp3]
现在的中国，一切都变了。	Xiànzài de Zhōngguó, yīqiè dōu biàn le.	Now in China, everything has changed.	[sound:tmpt95slv.mp3]
这是你的信。	zhè shì nǐ de xìn.	This is your letter.	[sound:333502.mp3]
他跟我们住的很远。	Tā gēn wǒmen zhùde hěn yuǎn. (also he/li) (also ta zhu de li wo men hen yuan)	He lives very far from us.	[sound:R073-05.mp3]
学校离我家很远。	Xuéxiào lí wǒ jiā hěn yuǎn.	The school is far away from my home.	[sound:tmpbpxy6m.mp3]
我家离学校很近。	Wǒ jiā lí xuéxiào hěn jìn.	My home is very close to the school.	[sound:tmpozpux8.mp3]
让我知道是否有什么我能做的。	ràng wǒ zhīdào shìfǒu yǒu shénme wǒ néng zuò de .	Let me know if there is anything I can do.	[sound:334468.mp3]
他们认为她是学校里最好的老师。	Tāmen rènwéi tā shì xuéxiào lǐ zuì hǎode lǎoshī.	They consider her to be the best teacher in the school.	[sound:R075-06.mp3]
你不这么认为吗？	nǐ bù zhème rènwéi ma?	Don't you think so?	[sound:332629.mp3]
如果我是你，我也会这么做。	rúguǒ wǒ shì nǐ, wǒ yě huì zhème zuò. (also no hui)	If I were you, I would do this, too.	[sound:333157.mp3]
如果我们不吃，就会死。	rúguǒ wǒmen bù chī, jiù huì sǐ.	If we don't eat, we'll just die.	[sound:334449.mp3]
我来帮您。	Wǒ lái bāng nín.	I'll come help you. (polite)	[sound:tmpbyrqoo.mp3]
我没朋友帮我。	wǒ méi péngyou bāng wǒ .	I have no friends to help me.	[sound:332934.mp3]
帮我一下。	bāng wǒ yīxià .	Help me a bit	[sound:332800.mp3]
她帮朋友看孩子。	"Tā bāng péngyou kān háizi. (also zai to mean ""now"")"	She is watching the baby for her friend.	[sound:tmp4_emoq.mp3]
我有很多朋友帮我。	wǒ yǒu hěn duō péngyou bāng wǒ .	I have a lot of friends to help me.	[sound:333352.mp3]
那没人帮你吗？	nà méi rén bāng nǐ ma ?	Then, nobody helped you?	[sound:334434.mp3]
请继续说。	Qǐng jìxù shuō.	Please keep speaking.	[sound:tmpr4vysk.mp3]
让我们继续工作吧。	Ràng wǒmen jìxù gōngzuò ba.	Let us keep working, ok?	[sound:tmplnuxq9.mp3]
请你继续说。	Qǐng nǐ jìxù shuō.	Please continue speaking.	[sound:tmp6uyf6d.mp3]
继续吧！	Jìxù ba!	Carry on!	[sound:tmpsk7wsb.mp3]
这是我的父亲。	Zhè shì wǒ de fùqin.	This is my father.	[sound:tmpq9ijaq.mp3]
请问,你的学生叫什么名字？	Qǐngwèn, nǐ de xuésheng jiào shénme míngzi?	Excuse me, what is your student's name?	[sound:R014-02.mp3]
请问,学校在哪里？	Qǐngwèn, xuéxiào zài nǎli?	Excuse me, where is the school?	[sound:R014-05.mp3]
请问,哪里可以买英语书？	Qǐngwèn, nǎlǐ kěyǐ mǎi Yīngyǔ shū?	Excuse me, where can I buy English-language books?	[sound:G028-04.mp3]
请问您从事什么工作？	Qǐngwèn nín cóngshì shénme gōngzuò?	Excuse me, what kind of job do you do? (polite)	[sound:tmpdid4ol.mp3]
他们在谈什么？	Tāmen zài tán shénme?	What are they discussing?	[sound:tmpcjuln7.mp3]
你的手机在哪里？	Nǐde shǒujī zài nǎli?	Where is your cell phone?	[sound:G006-06.mp3]
请问,你有手机吗？	Qǐngwèn, nǐ yǒu shǒujī ma?	Excuse me, do you have a cell phone?	[sound:G014-07.mp3]
这是手机。	Zhè shì shǒujī.	This is a cell phone.	[sound:G010-01.mp3]
你有手机吗？	Nǐ yǒu shǒujī ma?	Do you have a cell phone?	[sound:G011-01.mp3]
手机在哪里？	Shǒujī zài nǎli?	Where is the cell phone?	[sound:R006-07.mp3]
哪里可以买手机？	Nǎli kěyǐ mǎi shǒujī?	Where can I buy a cell phone?	[sound:G028-02.mp3]
我有手机。	Wǒ yǒu shǒujī.	I have a cell phone.	[sound:R011-02.mp3]
清楚了吗？	Qīngchu le ma?	Is that clear?	[sound:tmpnidcft.mp3]
他的字写得很清楚。	Tā de zì xiě de hěn qīngchu. (also ta zi xie ...)	His writes characters very clearly.	[sound:tmphuyb0b.mp3]
他刚离开公司。	Tā gāng líkāi gōngsī.	He's just left the company.	[sound:tmpgbwqjq.mp3]
他刚离开家。	tā gāng líkāi jiā .	He has just left home.	[sound:333209.mp3]
他刚回到家。	tā gāng huídào jiā .	He just returned home.	[sound:335119.mp3]
他和你一样来自中国。	Tā hé nǐ yīyàng lái zì Zhōngguó. (also yiyang-&gt;liang ge dou)	He and you both come from China.	[sound:tmp7zjxrt.mp3]
她几点上班？	Tā jǐdiǎn shàngbān?	What time does she go to work?	[sound:R029-01.mp3]
他是我们班最好的学生。	Tā shì wǒmen bān zuì hǎode xuésheng.<div>(Also zai) (Also shang or li)</div>	He is the best student in our class.	[sound:R075-01.mp3]
你找我有事吗？	Nǐ zhǎo wǒ yǒu shì ma?	Did you find me about something?	[sound:R065-05.mp3]
打开你的书。	Dǎkāi nǐde shū.	Open your book.	[sound:R057-07.mp3]
我出去的时候有人打我电话吗？	wǒ chūqù de shíhou yǒu rén dǎ wǒ diànhuà ma ?	Did anyone call me while I was out?	[sound:333978.mp3]
这个问题很简单。	Zhè gè wèntí hěn jiǎndān.	This question is very simple.	[sound:tmpk3udkb.mp3]
除了这里，没那么简单。	chúle zhèli, méi nàme jiǎndān.<div>(also mei you)</div>	Elsewhere, it's not that simple.	[sound:335069.mp3]
老师教我们英文。	Lǎoshī jiāo wǒmen Yīngwén.	The teacher teaches English to us.	[sound:tmpt99eee.mp3]
我在大学教英文。	Wǒ zài dàxué jiāo Yīngwén.	I teach English at a university.	[sound:G025-03.mp3]
我想教历史。	Wǒ xiǎng jiāo lìshǐ.	I would like to teach history.	[sound:G025-07.mp3]
你教英文吗？	Nǐ jiāo Yīngwén ma?	Do you teach English?	[sound:R025-03.mp3]
她教中文。	Tā jiāo Zhōngwén.	She teaches the Chinese language.	[sound:R025-01.mp3]
我教中文。	Wǒ jiāo Zhōngwén.	I teach the Chinese language.	[sound:G025-01.mp3]
我的朋友教中文。	Wǒde péngyou jiāo Zhōngwén.	My friend teaches Chinese.	[sound:G025-02.mp3]
是谁教她怎么说英语的？	shì shéi jiāo tā zěnme shuō yīngyǔ de ?	Who taught her how to speak English?	[sound:333752.mp3]
你必须马上开始。	nǐ bìxū mǎshàng kāishǐ .	You must start at once.	[sound:333008.mp3]
马上要进行考试。	Mǎshàng yào jìnxíng kǎoshì. (also kaishi)	The exam needs to start very soon.	[sound:tmpbigfvs.mp3]
妈妈在医院工作。	Māma zài yīyuàn gōngzuò.	Mom works in a hospital.	[sound:tmpynz56u.mp3]
请你不要哭。	qǐng nǐ bùyào kū .	Please don't cry.	[sound:334469.mp3]
我想哭。	wǒ xiǎng kū .	I want to cry.	[sound:334542.mp3]
我直接告诉你吧！	Wǒ zhíjiē gàosu nǐ ba!	I'll tell you directly, ok?	[sound:tmp9qdrhu.mp3]
最近好吗？	Zuìjìn hǎo ma?	How are you lately?	[sound:tmpdzujwa.mp3]
你要相信自己的能力。	Nǐ yào xiāngxìn zìjǐ de nénglì.	You need to believe in your own ability.	[sound:R094-02.mp3]
他成功了。	Tā chénggōng le.	He succeeded.	[sound:tmpmqqwzy.mp3]
他希望已经成功了。	tā xīwàng yǐjīng chénggōng le .	He wishes that he already succeeded.	[sound:333467.mp3]
我肯定他会成功的。	wǒ kěndìng tā huì chénggōng de. (also que ding)	I am sure that he will be successful (at sth).	[sound:333257.mp3]
妈妈很忙。	Māma hěn máng.	My mother is very busy.	[sound:tmpuuyhix.mp3]
我爸爸很忙。	wǒ bàba hěn máng .	My papa is busy.	[sound:332500.mp3]
你今天忙吗？	nǐ jīntiān máng ma ?	Are you busy today?	[sound:333561.mp3]
需要我帮你的忙吗？	Xūyào wǒ bāng nǐ de máng ma?	Do you need my help? (with your undertaking)	[sound:tmpi2qtc5.mp3]
她需要帮助。	Tā xūyào bāngzhù.	She needs help.	[sound:tmphrgwcn.mp3]
我爱我的母亲。	Wǒ ài wǒ de mǔqin.	I love my mother.	[sound:tmprx8_qh.mp3]
她母亲将继续工作。	tā mǔqīn jiāng jìxù gōngzuò . (also yao4)	Her mother will continue to work.	[sound:334275.mp3]
你应该努力学习。	Nǐ yīnggāi nǔlì xuéxí.	You should study hard.	[sound:R053-04.mp3]
中国人工作很努力。	Zhōngguórén gōngzuò hěn nǔlì.	Chinese people work very hard.	[sound:R053-07.mp3]
他不努力工作。	Tā bù nǔlì gōngzuò.	He doesn't work hard.	[sound:R053-05.mp3]
他努力工作。	tā nǔlì gōngzuò .	He works very hard.	[sound:332637.mp3]
你工作太努力了。	nǐ gōngzuò tài nǔlì le. (also ni tai nuli gongzuo le)	You worked too hard.	[sound:332949.mp3]
“你太好了。”Willie回答道。	nǐ tài hǎo le .Willie huídá dào .	You are too good, Willie answered.	[sound:334473.mp3]
他们每个人都很努力。	Tāmen měi gè rén dōu hěn nǔlì.	Each of them is very hard-working.	[sound:tmpejgoj0.mp3]
我不知道这件事。	Wǒ bù zhīdào zhè jiàn shì.	I didn't know about this matter.	[sound:tmpjw7qin.mp3]
我不知道，也不想知道。	wǒ bùzhī dào , yě bù xiǎng zhīdào .	I don't know, and I don't want to.	[sound:332786.mp3]
你怎么会不知道？	nǐ zěnme huì bù zhīdào ?	How can you not know?	[sound:334830.mp3]
我不知道我还有没有。	wǒ bùzhī dào wǒ hái yǒu méiyǒu .	I don't know if I still have it.	[sound:335038.mp3]
我还有其他选择吗？	wǒ hái yǒu qítā xuǎnzé ma? (also qita de)	Do I have any other options?	[sound:333017.mp3]
我再也不知道该做什么了。	wǒ zàiyě bù zhīdào gāi zuò shénme le.	I don't know what I should do anymore!	[sound:335053.mp3]
A你会再来中国吗？<br/>B可能。	Nǐ huì zài lái Zhōngguó ma?<br />Kěnéng.	Will you come to China again?<br />Maybe.	[sound:R032-DLG.mp3]
如果他再努力一点，就可能已经成功了。	rúguǒ tā zài nǔlì yīdiǎn, jiù kěnéng yǐjīng chénggōng le .	If he put in just a little more effort, he might have already succeeded.	[sound:333662.mp3]
她可能出什么事了。	tā kěnéng chū shénme shì le. (also fasheng)	Something might have happened to her.	[sound:332431.mp3]
你可能听说过。	nǐ kěnéng tīngshuō guò .	You may have heard.	[sound:333991.mp3]
如果他当时再努力一点，他就成功了。	rúguǒ tā dāngshí zài nǔlì yīdiǎn, tā jiù chénggōng le.	If at that time, he had worked a little harder, he would have succeeded.	[sound:333334.mp3]
请来我的家里。	Qǐng lái wǒ de jiālǐ.	Please come to my home.	[sound:G030-04.mp3]
这道题很难。	Zhè dào tí hěn nán.	This (exam/homework problem) is very difficult.	[sound:tmptey_we.mp3]
当然，没问题！	Dāngrán, méi wèntí!	Of course it's not a problem!	[sound:tmpwdxpjd.mp3]
她告诉我她妈妈买给她了。	tā gàosu wǒ tā māma mǎi gěi tā le .	She told me that her mother had bought it for her.	[sound:334038.mp3]
今天几月几日？	Jīntiān jǐ yuè jǐ rì?	What's the date today?	[sound:tmpwglaaz.mp3]
下个月是几月？	Xià gè yuè shì jǐ yuè?	What month is next month?	[sound:tmphrtbil.mp3]
她下个月生孩子。	Tā xià gè yuè shēng háizi.	She'll give birth next month.	[sound:tmpdnocpl.mp3]
那家公司倒了。	Nà jiā gōngsī dǎo le.	That company shut down.	[sound:tmpty0ydn.mp3]
