Kate, 坐吧。	Kate, zuò ba.	Sit down, Kate.	[sound:332793.mp3]
天快要下雨了。	Tiān kuài yào xiàyǔ le.	It's going to rain.	[sound:335128.mp3]
这是我见过的最高的男人了。	Zhè shì wǒ jiàn guo de zuì gāo de nánrén le.	This is the tallest man I've ever seen.	[sound:334404.mp3]
明天下午2点以前，我希望这工作完成了。	Mingtiān xiàwǔ liang diǎn yǐqián, wǒ xīwang zhè gongzuò wáncheng le.	I want this work completed by two o'clock tomorrow afternoon.	[sound:334693.mp3]
“洞里发生了什么？我很好奇。”“我一点也不知道。”	"Dong lǐ fāsheng le shénme? Wǒ hěn hàoqí. ""Wǒ yīdiǎn yě bù zhīdào."""	"What's going on in the cave? I'm curious. ""I have no idea."""	[sound:334484.mp3]
告诉我你对湘南做了什么。	Gàosu wǒ nǐ duì Xiangnán zuò le shénme.	Tell me what you did to Shounan.	[sound:332699.mp3]
老师不可能说过这样的事。	Lǎoshī bù kěneng shuō guo zhèyang de shì.	The teacher cannot have said such a thing.	[sound:332990.mp3]
万一你生病了，吃这个药。	Wànyī nǐ shengbing le, chī zhège yào.	Take this medicine in case you get sick.	[sound:333239.mp3]
这是你的信。	Zhè shì nǐ de xìn.	Here is a letter for you.	[sound:333502.mp3]
雨下了一周。	Yǔ xià le yī zhoū.	The rain lasted a week.	[sound:333989.mp3]
她告诉我她妈妈买给她了。	Tā gàosu wǒ tā māma mǎi gěi tā le.	She told me that her mother had bought it for her.	[sound:334038.mp3]
我从没见过那么大的西瓜！	Wǒ congméi jiàn guo nàme dà de xīguā!	I've never seen such a giant watermelon!	[sound:334497.mp3]
这是我年轻时候住的房子。	Zhè shì wǒ niánqing shíhou zhù de fangzi.	This is the house where I used to live when I was young.	[sound:334790.mp3]
那个老人，这么说吧，是一本活字典。	Nàge lǎorén, zhème shuō ba, shì yī běn huó zìdiǎn.	That old man, let's just say, is a living dictionary.	[sound:334563.mp3]
等她回来的时候问问她。	Deng tā huílai de shíhou wèn wèn tā.	Ask her when she comes back.	[sound:332472.mp3]
写下你名字的大写字母。	Xiěxià nǐ mingzi de dàxiě zìmǔ.	Write your name in capitals.	[sound:332654.mp3]
有什么事是我该做的吗？	Yoǔ shénme shì shì wǒ gāi zuò de ma?	Is there anything I must do?	[sound:334319.mp3]
请来两杯茶和一杯咖啡。	Qing lái liang bēi chá hé yī bēi kāfēi.	Two teas and a coffee, please.	[sound:335007.mp3]
我要回房间了，在那儿我可以学习。	Wǒ yào huí fangjiān le, zài nàr wǒ kěyǐ xuéxí.	I am going to my room, where I can study.	[sound:332540.mp3]
在公车上，一个陌生人和我说了话。	Zài gongchē shang, yī gè mòshengrén hé wǒ shuō le huà.	A stranger spoke to me on the bus.	[sound:332987.mp3]
他买不起汽车，更不要说买房子了。	Tā mǎibuqǐ qìchē, geng bù yào shuō mǎi fangzi le.	He cannot buy a car, still less a house.	[sound:333902.mp3]
你生日的时候，我送你一辆自行车。	Nǐ shengrì de shíhou, wǒ song nǐ yī liang zìxingchē.	I will give you a bicycle for your birthday.	[sound:334048.mp3]
他不仅给了我们衣服，还有一点钱。	Tā bùjǐn gěi le wǒmen yīfu, hái yoǔ yīdiǎn qián.	He gave us not only clothes but some money.	[sound:334409.mp3]
在我去荷兰之前，我从没见过风车。	Zài wǒ qù Hélán zhīqián, wǒ congméi jiàn guo fengchē.	I had never seen a windmill until I visited the Netherlands.	[sound:335000.mp3]
俱乐部会长Johnson先生很快就要来了。	Jùlèbù huìzhang Johnson xiānsheng hěn kuài jiù yào lái le.	Mr Johnson, president of the club, will soon come.	[sound:333894.mp3]
差不多两周John的病才好了。	Chàbuduō liang zhoū John de bing cái hǎo le.	It took John about two weeks to get over his illness.	[sound:332474.mp3]
它们是瓜。	Tāmen shì guā.	They are melons.	[sound:332547.mp3]
他大半生都住在国外。	Tā dàbàn sheng doū zhù zài guówài.	He lived abroad for much of his life.	[sound:332722.mp3]
除了雨天，我都是骑车去上班的。	Chúle yǔtiān, wǒ doū shì qíchē qù shangbān de.	I go to the office by bicycle except on rainy days.	[sound:332827.mp3]
妈妈为我准备了午饭。	Māma wèi wǒ zhǔnbèi le wǔfàn.	Mother prepared lunch for me.	[sound:332840.mp3]
学校8点半开始上课。	Xuéxiào bā diǎn bàn kāishǐ shangkè.	School begins at eight-thirty.	[sound:332951.mp3]
我弟弟没我两年前高。	Wǒ dìdi méi wǒ liang nián qián gāo.	My brother is not as tall as I was two years ago.	[sound:332982.mp3]
我觉得你的工作可以。	Wǒ juéde nǐ de gongzuò kěyǐ.	I think your work is all right.	[sound:333016.mp3]
为什么你昨晚睡不着？	Wèishénme nǐ zuówǎn shuìbuzháo?	Why couldn't you sleep last night?	[sound:333168.mp3]
我五点到你家来接你。	Wǒ wǔ diǎn dào nǐ jiā lái jiē nǐ.	I'll pick you up at your home at five.	[sound:333216.mp3]
我现在在上班，所以晚点打给你。	Wǒ xiànzài zài shangbān, suǒyǐ wǎn diǎn dǎ gěi nǐ.	I'm at work now, so I'll call you later.	[sound:333223.mp3]
我学英语学了4年了。	Wǒ xué Yingyǔ xué le sì nián le.	I have been studying English for four years.	[sound:333230.mp3]
让我进去。	Rang wǒ jìnqù.	Let me in.	[sound:333350.mp3]
3的三次方等于27。	Sān de sān cì fang dengyú èr shí qī.	3 cubed is 27.	[sound:333418.mp3]
你最好去一下医务室。	Nǐ zuì hǎo qù yīxià yīwùshì.	You had better go to the infirmary.	[sound:333586.mp3]
年轻的时候多看点好书是件好事。	Niánqing de shíhou duō kàn diǎn hǎo shū shì jiàn hǎoshì.	It's a good thing to read good books when you are young.	[sound:333659.mp3]
我已经吃饱了，谢谢。	Wǒ yǐjing chībǎo le, xièxie.	I'm already full, thank you.	[sound:333663.mp3]
我每天工作不同时段。	Wǒ měi tiān gongzuò bùtong shíduàn.	Every day I work different hours.	[sound:333728.mp3]
我不觉得她像她妈妈。	Wǒ bù juéde tā xiang tā māma.	I don't think she takes after her mother.	[sound:333833.mp3]
这么做有什么好处吗？	Zhème zuò yoǔ shénme hǎochu ma?	Does doing things in this way have a benefit?	[sound:335010.mp3]
我不知道我还有没有。	Wǒ bù zhīdào wǒ hái yoǔ méiyoǔ.	I don't know if I still have it.	[sound:335038.mp3]
我很好奇。	Wǒ hěn hàoqí.	I am curious.	[sound:335059.mp3]
让我们别来，我们就更想来了。	Rang wǒmen bié lái, wǒmen jiù geng xiang lái le.	When we are told not to come, we become all the more eager to go.	[sound:333529.mp3]
“这正是我在找的。”他喊道。	Zhè zheng shì wǒ zài zhǎo de. tā hǎn dào.	This is what I was looking for! he exclaimed.	[sound:334477.mp3]
你咖啡喝得太多了。	Nǐ kāfēi hē de tài duō le.	You drink too much coffee.	[sound:332479.mp3]
我明早八点来接你。	Wǒ mingzǎo bā diǎn lái jiē nǐ.	I'll call for you at eight tomorrow morning.	[sound:332657.mp3]
我的房间号是多少？	Wǒ de fangjiān hào shì duōshao?	What is my room number?	[sound:332881.mp3]
他这个时候该到了。	Tā zhège shíhou gāi dào le.	This is the time he normally arrives.	[sound:332953.mp3]
我能问一些问题吗？	Wǒ neng wèn yīxiē wèntí ma?	May I ask a few questions?	[sound:332979.mp3]
我不同意你的看法。	Wǒ bù tongyì nǐ de kànfǎ.	I do not agree with you.	[sound:333122.mp3]
我以前从没见过她。	Wǒ yǐqián cong méi jiànguo tā.	Never have I seen her before.	[sound:333154.mp3]
日本的首都是东京。	Rìběn de shoǔdū shì Dongjing.	The capital of Japan is Tokyo.	[sound:333236.mp3]
他昨天上学迟到了。	Tā zuótiān shangxué chídào le.	He was late for school yesterday.	[sound:333768.mp3]
我知道他的名字，但不知道他长什么样。	Wǒ zhīdào tā de mingzi, dàn bù zhīdào tā zhang shénmeyang.	I know him by name, but not by sight.	[sound:333817.mp3]
我累得不能再累了。	Wǒ lèi de bù neng zài lèi le.	I'm as tired as tired can be.	[sound:334138.mp3]
慢慢来，没那么急。	Mànmànlái, méi nème jí.	Take your time. There's no hurry.	[sound:334399.mp3]
我很久没见过他了。	Wǒ hěn jiǔ méi jiàn guo tā le.	I have not seen him for a long time.	[sound:334582.mp3]
音乐会上有很多人。	Yīnyuèhuì shang yoǔ hěn duō rén.	There were a lot of people at the concert.	[sound:334653.mp3]
他已经吃过午饭了。	Tā yǐjing chī guo wǔfàn le.	He has already had lunch.	[sound:334783.mp3]
演出什么时候开始？	Yǎnchū shénme shíhou kāishǐ?	What time does the play begin?	[sound:334789.mp3]
我们周三下午没课。	Wǒmen Zhoūsān xiàwǔ méi kè.	We have no classes on Wednesday afternoons.	[sound:334927.mp3]
这么做没什么好处。	Zhème zuò méi shénme hǎochu.	Doing things in this way has no benefit.	[sound:335011.mp3]
这是张舒服的椅子。	Zhè shì zhang shūfu de yǐzi.	This is a comfortable chair.	[sound:335033.mp3]
他登上了前往洛杉矶的飞机。	Tā dengshang le qiánwang Luòshānjī de fēijī.	He boarded a plane bound for Los Angeles.	[sound:332584.mp3]
我没见过也没听过这样的事。	Wǒ méi jiàn guo yě méi ting guo zhèyang de shì.	I have neither seen nor heard of such a thing.	[sound:332897.mp3]
我们同意了第二天一早开始。	Wǒmen tongyì le dì èr tiān yī zǎo kāishǐ.	We agreed to start early the next morning.	[sound:333084.mp3]
Kent生来就是个领导人。	Kent shenglái jiù shì ge lingdǎorén.	Kent is a born leader.	[sound:333527.mp3]
我在洗澡的时候，电话响了。	Wǒ zài xǐzǎo de shíhou, diànhuà xiang le.	The phone rang while I was taking a shower.	[sound:333781.mp3]
不管问了什么，她都能回答。	Bù guǎn wèn le shénme, tā doū neng huídá.	She was able to answer whatever was asked.	[sound:334250.mp3]
问题是那天我们的车不能用。	Wèntí shì nèitiān wǒmen de chē bù neng yong.	The problem is we can't use our car on that day.	[sound:334381.mp3]
我们的老师会给我们出难题。	Wǒmen de lǎoshī huì gěi wǒmen chū nántí.	Our teacher will give us difficult problems.	[sound:334786.mp3]
我爸爸对我的爱和照顾不比我妈妈少。	Wǒ bàba duì wǒ de ài hé zhàogu bù bǐ wǒ māma shǎo.	My father was no less affectionate and tender to me than my mother was.	[sound:332696.mp3]
到明年四月我们住在这儿就满两年了。	Dào mingnián sìyuè wǒmen zhù zài zhèr jiù mǎn liang nián le.	We'll have lived here for two years next April.	[sound:333953.mp3]
不管我做什么，她都说我能做得更好。	Bù guǎn wǒ zuò shénme, tā doū shuō wǒ neng zuò de geng hǎo.	Whatever I do, she says I can do better.	[sound:334917.mp3]
接电话。	Jiē diànhuà.	Answer the phone.	[sound:332436.mp3]
我们有很多听众。	Wǒmen yoǔ hěn duō tingzhong.	We had a large audience.	[sound:332601.mp3]
他长大了会成为一名医生。	Tā zhangdà le huì chengwéi yī ming yīsheng.	He is going to be a doctor when he grows up.	[sound:332649.mp3]
公园里有很多人。	Gongyuán lǐ yoǔ hěn duō rén.	There were a lot of people in the park.	[sound:332847.mp3]
Ken七月底要去美国了。	Ken Qīyuè dǐ yào qù Měiguó le.	Ken is going to the United States at the end of July.	[sound:332899.mp3]
我不想等那么久。	Wǒ bù xiang deng nème jiǔ.	I don't want to wait that long.	[sound:332935.mp3]
她答应几时见他？	Tā dāying jǐ shí jiàn tā?	When did she promise to meet him?	[sound:332995.mp3]
我的工作是洗碗。	Wǒ de gongzuò shì xǐ wǎn.	My job is to wash dishes.	[sound:333039.mp3]
你的笔比我的好。	Nǐ de bǐ bǐ wǒ de hǎo.	Your pen is better than mine.	[sound:333143.mp3]
把你的名字用大写写下来。	Bǎ nǐ de mingzi yong dàxiě xiě xiàlái.	Write your name in capitals.	[sound:333145.mp3]
他们说她是在德国出生的。	Tāmen shuō tā shì zài Déguó chūsheng de.	They say that she was born in Germany.	[sound:333190.mp3]
他迟早会回来的。	Tā chízǎo huì huílai de.	He will come back sooner or later.	[sound:333225.mp3]
他去美国学医了。	Tā qù Měiguó xué yī le.	He went to America to study medicine.	[sound:333341.mp3]
他告诉我什么时候该说是。	Tā gàosu wǒ shénme shíhou gāi shuō shì.	He told me when to say yes.	[sound:333538.mp3]
“我该做什么呢？”我自言自语道。	Wǒ gāi zuò shénme ne? wǒ zìyánzìyǔ dào.	What shall I do? I said to myself.	[sound:333673.mp3]
我想看这部电影。	Wǒ xiang kàn zhè bù diànying.	I want to watch this film.	[sound:333946.mp3]
你哪儿来的主意？	Nǐ nǎr lái de zhǔyi?	Where did you get the idea?	[sound:334045.mp3]
他们每天必须工作8小时。	Tāmen měitiān bìxū gongzuò bā xiǎoshí.	They must work 8 hours a day.	[sound:334152.mp3]
去火车站要多久？	Qù huǒchēzhàn yào duōjiǔ?	How long does it take to get to the station?	[sound:334181.mp3]
这看上去像个蛋。	Zhè kànshangqu xiang ge dàn.	It looks like an egg.	[sound:334185.mp3]
慢慢来。	Mànmànlái.	Take your time.	[sound:334395.mp3]
请问鸡蛋在哪里？	Qingwèn jīdàn zài nǎlǐ?	Where are the eggs, please?	[sound:334425.mp3]
我想哭。	Wǒ xiang kū.	I felt like crying.	[sound:334542.mp3]
我们何不回家呢？	Wǒmen hébù huíjiā ne?	Why don't we go home?	[sound:334555.mp3]
他怕狗。	Tā pà goǔ.	He's afraid of dogs.	[sound:334621.mp3]
不要走得那么快！我跟不上你们了。	Bù yào zoǔ de nème kuài! Wǒ gēnbushang nǐmen le.	Don't walk so fast! I can't keep up with you.	[sound:334626.mp3]
你最好现在就走。	Nǐ zuì hǎo xiànzài jiù zoǔ.	You had better go now.	[sound:334627.mp3]
他银行里有点钱。	Tā yínhang lǐ yoǔ diǎn qián.	He has some money in the bank.	[sound:334640.mp3]
警察对他们说：“住手”。	"Jingchá duì tāmen shuō: ""Zhù shoǔ""."	"The policemen said to them, ""Stop."""	[sound:334679.mp3]
我一天也离不开这本字典。	Wǒ yī tiān yě líbukāi zhè běn zìdiǎn.	I cannot do without this dictionary even for a single day.	[sound:334685.mp3]
露西和我一样有很多朋友。	Lùxī hé wǒ yīyang yoǔ hěn duō pengyou.	Like me, Lucy has many friends.	[sound:334972.mp3]
他对我说了谎，这就是为什么我生他的气了。	Tā duì wǒ shuō le huang, zhè jiù shì wèishénme wǒ sheng tā de qì le.	He lied to me. That is why I am angry with him.	[sound:335098.mp3]
最后三周，Jim一直试图带我出去吃饭。	Zuì hoù sān zhoū, Jim yīzhí shìtú dài wǒ chūqù chīfàn.	Jim has been trying to take me out to dinner for the last three weeks.	[sound:332604.mp3]
